Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001238,Male,Yes,3+,Not Graduate,Yes,0.3373396095837187,-0.5895062001488415,-0.2263022616384298,-4.384305865844065,1.0,Urban,1.0
LP001241,Female,No,0,Graduate,No,-0.15456149445693207,-0.5895062001488415,-0.0841487878186237,0.2705275961031067,0.0,Semiurban,1.0
LP001243,Male,Yes,0,Graduate,No,-0.34640292503278586,0.5387836958402173,0.3810807628643782,0.2705275961031067,1.0,Urban,1.0
LP001245,Male,Yes,2,Not Graduate,Yes,-0.5805829863492814,0.10049495933566123,-0.5881474677252091,0.2705275961031067,1.0,Semiurban,1.0
LP001248,Male,No,0,Graduate,No,-0.2951046670399751,-0.5895062001488415,-0.7949161569176543,-0.6604390962863276,1.0,Semiurban,1.0
LP001250,Male,Yes,3+,Not Graduate,No,-0.0746275650503263,-0.5895062001488415,-0.6139935538742647,0.2705275961031067,0.0,Semiurban,1.0
LP001253,Male,Yes,3+,Graduate,Yes,0.015144386437092469,0.06332689687809602,0.5749264089822956,0.2705275961031067,1.0,Semiurban,1.0
LP001255,Male,No,0,Graduate,No,-0.25118492560777417,-0.5895062001488415,-0.38137877853276375,2.132460980881975,1.0,Urban,1.0
LP001256,Male,No,0,Graduate,No,-0.25118492560777417,1.1584967372118986,0.4327729351624895,0.2705275961031067,1.0,Urban,1.0
LP001259,Male,Yes,1,Graduate,Yes,-0.7343020813619848,0.522591668630981,-0.42014790775634725,0.2705275961031067,1.0,Urban,1.0
LP001263,Male,Yes,3+,Graduate,No,-0.35360576262766685,0.8824962734180976,0.4844651074606008,-0.6604390962863276,0.0,Semiurban,1.0
LP001264,Male,Yes,3+,Not Graduate,Yes,-0.3244430543166854,0.20758313928765607,-0.16168704626579067,0.2705275961031067,new,Semiurban,1.0
LP001265,Female,No,0,Graduate,No,-0.23431974489780902,-0.5895062001488415,-0.40722486468181945,0.2705275961031067,1.0,Semiurban,1.0
LP001266,Male,Yes,1,Graduate,Yes,-0.4892299241703034,-0.5895062001488415,,0.2705275961031067,1.0,Semiurban,1.0
LP001267,Female,Yes,2,Graduate,No,-0.667895432316497,0.10270296304601163,0.316465547491739,0.2705275961031067,1.0,Urban,1.0
LP001273,Male,Yes,0,Graduate,No,0.1440927472820345,0.23849519123256177,1.5829237687954663,0.2705275961031067,new,Semiurban,1.0
LP001275,Male,Yes,1,Graduate,No,-0.20937333176431885,-0.5895062001488415,-1.195530492228017,-1.591405788675762,1.0,Urban,1.0
LP001279,Male,No,0,Graduate,No,-0.4943246141764387,0.3419033650006392,-0.0841487878186237,0.2705275961031067,1.0,Semiurban,1.0
LP001280,Male,Yes,2,Not Graduate,No,-0.3244430543166854,0.14649503663462807,-0.5623013815761534,0.2705275961031067,new,Semiurban,1.0
LP001282,Male,Yes,0,Graduate,No,-0.470783632768779,0.18991910960485278,-0.49768616620351425,0.2705275961031067,1.0,Semiurban,1.0
LP001289,Male,No,0,Graduate,No,0.5948849733421452,-0.5895062001488415,0.8721563996964357,0.2705275961031067,1.0,Urban,1.0
LP001310,Male,Yes,0,Graduate,No,0.09051066273474932,0.9439523766895173,0.41984989208796164,0.2705275961031067,1.0,Semiurban,1.0
LP001316,Male,Yes,0,Graduate,No,-0.3903226664649868,0.4776955931871894,-0.14876400319126284,0.2705275961031067,1.0,Semiurban,1.0
LP001318,Male,Yes,2,Graduate,No,0.18801248871423545,1.491169296238027,0.5878494520568235,-2.5223724810651964,1.0,Semiurban,1.0
LP001319,Male,Yes,2,Not Graduate,No,-0.33498379226041364,0.08025492532411582,-0.7949161569176543,0.2705275961031067,1.0,Urban,1.0
LP001322,Male,No,0,Graduate,No,-0.1838998817336423,-0.5895062001488415,-0.2650713908620133,0.2705275961031067,1.0,Semiurban,1.0
LP001325,Male,No,0,Not Graduate,No,-0.27402319115251866,-0.5895062001488415,-1.5186065690912127,-3.453339173454631,1.0,Semiurban,1.0
LP001326,Male,No,0,Graduate,No,0.28147369848195913,-0.5895062001488415,,0.2705275961031067,new,Urban,1.0
LP001327,Female,Yes,0,Graduate,No,-0.47359449622043986,0.25763122338893196,-0.07122574474409586,0.2705275961031067,1.0,Semiurban,1.0
LP001333,Male,Yes,0,Graduate,No,-0.5626637318449434,-0.22260958361228192,-1.195530492228017,0.2705275961031067,1.0,Semiurban,1.0
LP001334,Male,Yes,0,Not Graduate,No,-0.1742375386185581,-0.5895062001488415,-0.3555326923837081,-2.5223724810651964,1.0,Semiurban,1.0
LP001343,Male,Yes,0,Graduate,No,-0.6009617463738226,0.7135839895762914,-0.14876400319126284,0.2705275961031067,1.0,Semiurban,1.0
LP001345,Male,Yes,2,Not Graduate,No,-0.1566696420456777,0.6112798176633891,-0.12291791704220718,-2.5223724810651964,1.0,Urban,1.0
LP001349,Male,No,0,Graduate,No,-0.059167816066191564,0.811104153450101,0.10969685829929375,0.2705275961031067,1.0,Semiurban,1.0
LP001350,Male,Yes,0,Graduate,No,1.4880368351073843,-0.5895062001488415,,0.2705275961031067,1.0,Urban,1.0
LP001356,Male,Yes,0,Graduate,No,-0.0927224985203931,0.7290400155487442,,0.2705275961031067,1.0,Semiurban,1.0
LP001357,Male,Yes,0,Graduate,No,-0.23959011386967313,-0.3120337338814735,0.2260042459700442,0.2705275961031067,1.0,Urban,1.0
LP001367,Male,Yes,1,Graduate,No,-0.37380884368647926,-0.21046556320535467,-0.5493783385016255,0.2705275961031067,1.0,Urban,1.0
LP001369,Male,Yes,2,Graduate,No,1.095745704634965,-0.17513750383974813,1.066002045814353,0.2705275961031067,1.0,Urban,1.0
LP001370,Male,No,0,Not Graduate,No,0.37827280859853,-0.5895062001488415,-0.29091747701106896,0.2705275961031067,1.0,Rural,1.0
LP001379,Male,Yes,2,Graduate,No,-0.24240097732133398,0.7352960260614038,0.9496946581436027,0.2705275961031067,0.0,Urban,1.0
LP001384,Male,Yes,3+,Not Graduate,No,-0.5461499090664359,-0.3120337338814735,-0.6269165969487925,2.132460980881975,1.0,Semiurban,1.0
LP001385,Male,No,0,Graduate,No,0.023928334723532663,-0.5895062001488415,-0.0841487878186237,0.2705275961031067,1.0,Urban,1.0
LP001387,Female,Yes,0,Graduate,No,-0.39541735647112214,0.26903924255907574,-0.04537965859504021,0.2705275961031067,1.0,Semiurban,1.0
LP001391,Male,Yes,0,Not Graduate,No,-0.2824557815075013,0.9244483439147554,0.12261990137382157,0.2705275961031067,0.0,Rural,1.0
LP001392,Female,No,1,Graduate,Yes,0.3990029265545289,-0.5895062001488415,,0.2705275961031067,1.0,Semiurban,1.0
LP001398,Male,No,0,Graduate,No,-0.022802270160329163,-0.5895062001488415,-0.3167635631601246,0.2705275961031067,1.0,Semiurban,1.0
LP001401,Male,Yes,1,Graduate,No,1.6519453101323582,-0.5895062001488415,0.5490803228332399,-2.5223724810651964,1.0,Rural,1.0
LP001404,Female,Yes,0,Graduate,No,-0.35360576262766685,0.25063921163948905,0.14846598752287724,0.2705275961031067,1.0,Semiurban,1.0
LP001405,Male,Yes,1,Graduate,No,-0.5210278169672169,-0.07504133563719627,-0.743223984619543,0.2705275961031067,new,Urban,1.0
LP001421,Male,Yes,0,Graduate,No,0.06819943408719123,0.19875112444625442,0.41984989208796164,0.2705275961031067,1.0,Rural,1.0
LP001422,Female,No,0,Graduate,No,0.9184856282146019,-0.5895062001488415,1.5053855103482994,0.2705275961031067,1.0,Urban,1.0
LP001426,Male,Yes,0,Graduate,No,0.08559165169434281,0.3919514491019152,0.4844651074606008,0.2705275961031067,1.0,Rural,1.0
LP001430,Female,No,0,Graduate,No,-0.17810247586459177,-0.5895062001488415,-1.273068750675184,0.2705275961031067,1.0,Semiurban,1.0
LP001431,Female,No,0,Graduate,No,-0.5345550973283348,2.715139353008937,-0.07122574474409586,0.2705275961031067,0.0,Semiurban,1.0
LP001432,Male,Yes,2,Graduate,No,-0.39049834543071565,-0.5895062001488415,-0.7949161569176543,0.2705275961031067,1.0,Semiurban,1.0
LP001439,Male,Yes,0,Not Graduate,No,-0.15456149445693207,0.15164704529211237,0.6653877105039904,0.2705275961031067,1.0,Rural,1.0
LP001443,Female,No,0,Graduate,No,-0.2613743056200448,-0.5895062001488415,-0.6398396400233204,0.2705275961031067,new,Rural,1.0
LP001448,Others,Yes,3+,Graduate,No,3.2717053741519297,-0.5895062001488415,2.9398432916208885,0.2705275961031067,1.0,Rural,1.0
LP001449,Male,No,0,Graduate,No,-0.23098184454896173,0.014014814013603553,,0.2705275961031067,1.0,Rural,1.0
LP001451,Male,Yes,1,Graduate,Yes,0.9369319196161263,0.8272961806593373,0.2260042459700442,-2.5223724810651964,0.0,Urban,1.0
LP001465,Male,Yes,0,Graduate,No,0.1581470645403388,0.35588738849952517,0.5103111936096565,0.2705275961031067,new,Rural,1.0
LP001469,Male,No,0,Graduate,Yes,2.63276097579627,-0.5895062001488415,6.558295352488681,2.132460980881975,new,Urban,1.0
LP001473,Male,No,0,Graduate,No,-0.5561636101129777,0.1203669927288149,-0.8853774584393491,0.2705275961031067,1.0,Urban,1.0
LP001478,Male,No,0,Graduate,No,-0.4324856182398998,-0.5895062001488415,-0.9370696307374604,0.2705275961031067,1.0,Semiurban,1.0
LP001482,Male,Yes,0,Graduate,Yes,-0.3023075046348561,-0.5895062001488415,-1.5186065690912127,-3.453339173454631,1.0,Semiurban,1.0
LP001487,Male,No,0,Graduate,No,-0.050032509848293764,-0.5895062001488415,-0.52353225235257,0.2705275961031067,1.0,Semiurban,1.0
LP001488,Male,Yes,3+,Graduate,No,-0.2072651841755732,2.262498592387103,1.905999845658662,0.2705275961031067,1.0,Semiurban,1.0
LP001489,Female,Yes,0,Graduate,No,-0.10484434715568057,-0.5895062001488415,-0.7561470276940708,0.2705275961031067,1.0,Rural,1.0
LP001491,Male,Yes,2,Graduate,Yes,-0.32742959673407507,0.6984959642222303,-0.7044548553959595,0.2705275961031067,1.0,Urban,1.0
LP001492,Male,No,0,Graduate,No,1.7250277598755406,-0.5895062001488415,1.2856937780813262,0.2705275961031067,0.0,Semiurban,1.0
LP001493,Male,Yes,2,Not Graduate,No,-0.17212939102981245,-0.06326531584866076,-0.1746100893403185,0.2705275961031067,1.0,Rural,1.0
LP001497,Male,Yes,2,Graduate,No,-0.024207701886159595,0.17703908796114207,0.5490803228332399,0.2705275961031067,1.0,Rural,1.0
LP001498,Male,No,0,Graduate,No,0.04167191026214185,-0.5895062001488415,0.32938859056626685,0.2705275961031067,1.0,Urban,1.0
LP001504,Male,No,0,Graduate,Yes,0.31098776472439815,-0.5895062001488415,0.41984989208796164,-2.5223724810651964,1.0,Semiurban,1.0
LP001507,Male,Yes,0,Graduate,No,-0.43599919755447586,0.15900705765994705,-0.2650713908620133,0.2705275961031067,1.0,Semiurban,1.0
LP001508,Male,Yes,2,Graduate,No,1.1554765529827582,-0.5895062001488415,0.5749264089822956,-2.5223724810651964,1.0,Urban,1.0
LP001514,Female,Yes,0,Graduate,No,-0.5006490569426757,1.0613445739564806,-0.5493783385016255,0.2705275961031067,1.0,Semiurban,1.0
LP001516,Female,Yes,2,Graduate,No,1.7016624574336097,-0.5895062001488415,-0.9370696307374604,0.2705275961031067,1.0,Urban,1.0
LP001518,Male,Yes,1,Graduate,No,-0.6397867977998883,-0.06510531894061942,-1.4539913537185736,0.2705275961031067,1.0,Urban,1.0
LP001519,Female,No,0,Graduate,No,0.84680861019725,0.02358283009178866,1.066002045814353,0.2705275961031067,1.0,Rural,1.0
LP001520,Male,Yes,0,Graduate,No,-0.0561812736488019,-0.28406568688370165,-0.2263022616384298,0.2705275961031067,1.0,Semiurban,1.0
LP001528,Male,No,0,Graduate,No,0.19275582078891318,-0.5895062001488415,-0.3167635631601246,0.2705275961031067,0.0,Rural,1.0
LP001529,Male,Yes,0,Graduate,Yes,-0.4572563524076611,0.7904961188201639,0.12261990137382157,0.2705275961031067,1.0,Rural,1.0
LP001531,Male,No,0,Graduate,No,0.7002923527794275,-0.5895062001488415,1.311539864230382,0.2705275961031067,1.0,Urban,1.0
LP001532,Male,Yes,2,Not Graduate,No,-0.509257326263387,-0.5895062001488415,-0.38137877853276375,0.2705275961031067,1.0,Rural,1.0
LP001535,Male,No,0,Graduate,No,-0.33832169260926087,-0.5895062001488415,-1.195530492228017,0.2705275961031067,1.0,Urban,1.0
LP001536,Male,Yes,3+,Graduate,No,6.117001903095637,-0.5895062001488415,5.91214319876229,-2.5223724810651964,0.0,Semiurban,1.0
LP001541,Male,Yes,1,Graduate,No,0.1440927472820345,-0.5895062001488415,0.2260042459700442,0.2705275961031067,new,Rural,1.0
LP001543,Male,Yes,1,Graduate,No,0.7656449280305425,-0.5895062001488415,0.5749264089822956,0.2705275961031067,1.0,Urban,1.0
LP001546,Male,No,0,Graduate,No,-0.38645772921895316,0.17703908796114207,-0.29091747701106896,0.2705275961031067,1.0,Rural,1.0
LP001552,Male,Yes,0,Graduate,No,-0.10484434715568057,1.4804972783046666,1.453693338050188,0.2705275961031067,1.0,Semiurban,1.0
LP001560,Male,Yes,0,Not Graduate,No,-0.5826911339380271,-0.20641755640304557,-0.5752244246506812,0.2705275961031067,1.0,Semiurban,1.0
LP001562,Male,Yes,0,Graduate,No,0.48368018803581236,-0.5895062001488415,1.7121541995407445,0.2705275961031067,1.0,Urban,1.0
LP001565,Male,Yes,1,Graduate,No,-0.36730872195451353,-0.11846540860742097,-0.27799443393654116,0.2705275961031067,0.0,Semiurban,1.0
LP001570,Male,Yes,2,Graduate,No,-0.17792679689886298,-0.05700930533600126,0.20015815982098856,0.2705275961031067,1.0,Rural,1.0
LP001572,Male,Yes,0,Graduate,No,0.7278739503988497,-0.5895062001488415,-0.8724544153648213,-2.5223724810651964,1.0,Urban,1.0
LP001574,Male,Yes,0,Graduate,No,-0.25873912113411274,0.5755837576793909,0.5103111936096565,0.2705275961031067,1.0,Rural,1.0
LP001577,Female,Yes,0,Graduate,No,-0.10484434715568057,-0.5895062001488415,-0.3943018216072916,0.2705275961031067,1.0,Rural,1.0
LP001578,Male,Yes,0,Graduate,No,-0.481500049678236,0.6370398609508106,-0.1746100893403185,0.2705275961031067,1.0,Rural,1.0
LP001579,Male,No,0,Graduate,No,-0.5169872007554545,-0.5895062001488415,-1.0275309322591553,2.132460980881975,0.0,Semiurban,1.0
LP001580,Male,Yes,2,Graduate,No,0.4954506787396422,-0.5895062001488415,0.7429259689511574,0.2705275961031067,1.0,Semiurban,1.0
LP001581,Male,Yes,0,Not Graduate,No,-0.5902453294643656,0.061486893786137344,-0.6139935538742647,0.2705275961031067,1.0,Rural,1.0
LP001585,Others,Yes,3+,Graduate,No,8.183689255929284,-0.5895062001488415,7.204447506215073,-0.6604390962863276,1.0,Urban,1.0
LP001586,Male,Yes,3+,Not Graduate,No,-0.29123972979394147,-0.5895062001488415,-0.7949161569176543,-2.5223724810651964,1.0,Rural,1.0
LP001594,Male,Yes,0,Graduate,No,0.09279448928922378,1.4804972783046666,0.5749264089822956,0.2705275961031067,1.0,Semiurban,1.0
LP001603,Male,Yes,0,Not Graduate,Yes,-0.14683161996486468,-0.3186577450125247,-0.7173778984704874,0.2705275961031067,1.0,Semiurban,1.0
LP001606,Male,Yes,0,Graduate,No,-0.29563170393716154,0.13324701437252562,-0.3426096493091803,0.2705275961031067,1.0,Rural,1.0
LP001608,Male,Yes,2,Graduate,No,-0.5507175621753847,0.006286801027377123,-0.5364552954270977,0.2705275961031067,1.0,Rural,1.0
LP001610,Male,Yes,3+,Graduate,No,0.05906412786929343,3.5689007876777614,4.555223675936867,0.2705275961031067,0.0,Semiurban,1.0
LP001616,Male,Yes,1,Graduate,No,-0.25118492560777417,-0.5895062001488415,-0.3426096493091803,0.2705275961031067,1.0,Semiurban,1.0
LP001630,Male,No,0,Not Graduate,No,-0.5001220200454892,-0.05553730286243432,-0.52353225235257,2.132460980881975,0.0,Urban,1.0
LP001633,Male,Yes,1,Graduate,No,0.21436433357355605,2.0784982831912355,0.4844651074606008,0.2705275961031067,0.0,Urban,1.0
LP001634,Male,No,0,Graduate,No,-0.5733801487544005,1.2736809307685117,-0.975838759961044,0.2705275961031067,new,Rural,1.0
LP001636,Male,Yes,0,Graduate,No,-0.1018578047382909,-0.5895062001488415,-0.898300501513877,-2.5223724810651964,1.0,Semiurban,1.0
LP001637,Male,Yes,1,Graduate,No,5.036049226966306,-0.5895062001488415,1.5183085534228271,0.2705275961031067,1.0,Semiurban,1.0
LP001639,Female,Yes,0,Graduate,No,-0.2731447963238747,-0.5895062001488415,-0.4459939939054029,0.2705275961031067,1.0,Semiurban,1.0
LP001640,Male,Yes,0,Graduate,Yes,5.967323424294696,1.1584967372118986,-0.29091747701106896,0.2705275961031067,1.0,Semiurban,1.0
LP001641,Male,Yes,1,Graduate,Yes,-0.5273522597334538,-0.5895062001488415,-0.9887618030355718,-0.6604390962863276,0.0,Rural,1.0
LP001643,Male,Yes,0,Graduate,No,-0.49133807175904903,0.1972791219726875,-1.0921461476317944,0.2705275961031067,new,Rural,1.0
LP001644,Others,Yes,0,Graduate,Yes,-0.7915734241895749,1.359425074853786,0.32938859056626685,0.2705275961031067,1.0,Rural,1.0
LP001647,Male,Yes,0,Graduate,No,0.7287523452274938,-0.5895062001488415,0.5878494520568235,-2.5223724810651964,1.0,Rural,1.0
LP001653,Male,No,0,Not Graduate,No,-0.0517892995055818,-0.5895062001488415,-1.2213765783770727,0.2705275961031067,1.0,Rural,1.0
LP001656,Male,No,0,Graduate,No,1.1981665416548577,-0.5895062001488415,0.27769641826815555,0.2705275961031067,1.0,Semiurban,1.0
LP001657,Male,Yes,0,Not Graduate,No,0.14989015315108503,-0.5895062001488415,0.2260042459700442,0.2705275961031067,1.0,Urban,1.0
LP001658,Male,No,0,Graduate,No,-0.23221159730906335,-0.5895062001488415,-0.8595313722902934,0.2705275961031067,1.0,Semiurban,1.0
